level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,2.299,s,,2.299
1,1,2.299,2.357,p,s,0.058000000000000274
2,2,2.357,2.865,s,p,0.508
3,3,2.865,3.185,p,s,0.31999999999999984
6,6,3.185,4.804,s,p,1.6190000000000002
7,7,4.804,4.985,p,s,0.18100000000000005
8,8,4.985,6.031,s,p,1.0459999999999994
9,9,6.031,6.144,p,s,0.11300000000000043
10,10,6.144,6.273,s,p,0.12899999999999956
11,11,6.273,6.504,p,s,0.23099999999999987
14,14,6.504,7.088,s,p,0.5840000000000005
15,15,7.088,7.2490000000000006,p,s,0.16100000000000048
16,16,7.2490000000000006,7.89,s,p,0.6409999999999991
17,17,7.89,7.954,p,s,0.06400000000000006
18,18,7.954,8.211,s,p,0.25700000000000056
19,19,8.211,8.335,p,s,0.12400000000000055
20,20,8.335,9.168,s,p,0.8329999999999984
21,21,9.168,9.68,p,s,0.5120000000000005
26,26,9.68,10.218,s,p,0.5380000000000003
27,27,10.218,10.318,p,s,0.09999999999999964
28,28,10.318,10.739,s,p,0.42100000000000115
29,29,10.739,11.136,p,s,0.39699999999999847
30,30,11.136,11.813,s,p,0.6770000000000014
31,31,11.813,12.296,p,s,0.48299999999999876
34,34,12.296,14.76,s,p,2.4640000000000004
35,35,14.76,14.818,p,s,0.05799999999999983
36,36,14.818,15.0,s,p,0.18200000000000038
37,37,15.0,15.096,p,s,0.09600000000000009
38,38,15.096,15.525,s,p,0.42900000000000027
39,39,15.525,15.608,p,s,0.08300000000000018
40,40,15.608,16.478,s,p,0.870000000000001
41,41,16.478,16.969,p,s,0.49099999999999966
44,44,16.969,17.681,s,p,0.7119999999999997
45,45,17.681,17.977,p,s,0.2959999999999994
46,46,17.977,19.241,s,p,1.2639999999999993
47,47,19.241,19.342,p,s,0.10099999999999909
48,48,19.342,20.085,s,p,0.7430000000000021
49,49,20.085,20.624,p,s,0.5389999999999979
50,50,20.624,22.748,s,p,2.1240000000000023
51,51,22.748,22.906,p,s,0.1579999999999977
52,52,22.906,23.173000000000002,s,p,0.267000000000003
53,53,23.173000000000002,23.235,p,s,0.06199999999999761
54,54,23.235,24.335,s,p,1.1000000000000014
55,55,24.335,24.778,p,s,0.44299999999999784
56,56,24.778,25.758,s,p,0.9800000000000004
57,57,25.758,25.908,p,s,0.15000000000000213
58,58,25.908,26.208,s,p,0.29999999999999716
59,59,26.208,26.451,p,s,0.2430000000000021
60,60,26.451,27.239,s,p,0.7880000000000003
61,61,27.239,28.071,p,s,0.8320000000000007
64,64,28.071,28.271,s,p,0.1999999999999993
65,65,28.271,28.353,p,s,0.08200000000000074
66,66,28.353,28.767,s,p,0.4139999999999979
67,67,28.767,29.307,p,s,0.5399999999999991
70,70,29.307,30.486,s,p,1.179000000000002
71,71,30.486,31.071,p,s,0.5850000000000009
72,72,31.071,31.72,s,p,0.6489999999999974
73,73,31.72,31.803,p,s,0.08300000000000196
74,74,31.803,32.352,s,p,0.5489999999999959
75,75,32.352,32.883,p,s,0.5310000000000059
76,76,32.883,33.878,s,p,0.9949999999999974
77,77,33.878,34.065,p,s,0.1869999999999976
78,78,34.065,34.557,s,p,0.49200000000000443
79,79,34.557,34.678,p,s,0.12099999999999511
80,80,34.678,34.782,s,p,0.1039999999999992
81,81,34.782,34.954,p,s,0.17200000000000415
82,82,34.954,35.471000000000004,s,p,0.517000000000003
83,83,35.471000000000004,35.831,p,s,0.35999999999999943
84,84,35.831,36.302,s,p,0.47099999999999653
85,85,36.302,36.463,p,s,0.16100000000000136
86,86,36.463,36.59,s,p,0.12700000000000244
87,87,36.59,36.997,p,s,0.4069999999999965
88,88,36.997,37.861,s,p,0.8639999999999972
89,89,37.861,37.96,p,s,0.09900000000000375
90,90,37.96,38.662,s,p,0.7019999999999982
91,91,38.662,38.759,p,s,0.09700000000000131
92,92,38.759,39.0,s,p,0.24099999999999966
93,93,39.0,39.117,p,s,0.11699999999999733
94,94,39.117,39.41,s,p,0.29299999999999926
95,95,39.41,40.319,p,s,0.909000000000006
98,98,40.319,40.561,s,p,0.24199999999999733
99,99,40.561,41.036,p,s,0.4750000000000014
100,100,41.036,41.189,s,p,0.1529999999999987
101,101,41.189,41.379,p,s,0.18999999999999773
102,102,41.379,42.945,s,p,1.5660000000000025
103,103,42.945,43.019,p,s,0.07399999999999807
104,104,43.019,43.15,s,p,0.13100000000000023
105,105,43.15,43.822,p,s,0.6720000000000041
110,110,43.822,44.242,s,p,0.4199999999999946
111,111,44.242,44.717,p,s,0.4750000000000014
114,114,44.717,45.068,s,p,0.3509999999999991
115,115,45.068,45.155,p,s,0.0870000000000033
116,116,45.155,46.782,s,p,1.6269999999999953
117,117,46.782,47.058,p,s,0.27600000000000335
118,118,47.058,47.805,s,p,0.7469999999999999
119,119,47.805,47.954,p,s,0.1490000000000009
120,120,47.954,48.749,s,p,0.7950000000000017
121,121,48.749,48.84,p,s,0.09100000000000108
122,122,48.84,49.39,s,p,0.5499999999999972
123,123,49.39,49.933,p,s,0.5429999999999993
124,124,49.933,51.024,s,p,1.091000000000001
125,125,51.024,51.388,p,s,0.3639999999999972
126,126,51.388,51.816,s,p,0.4280000000000044
127,127,51.816,51.89,p,s,0.07399999999999807
128,128,51.89,52.494,s,p,0.6039999999999992
129,129,52.494,52.863,p,s,0.3689999999999998
130,130,52.863,53.746,s,p,0.8830000000000027
131,131,53.746,54.0,p,s,0.2539999999999978
134,134,54.0,54.234,s,p,0.23400000000000176
135,135,54.234,54.418,p,s,0.1839999999999975
136,136,54.418,54.534,s,p,0.11599999999999966
137,137,54.534,54.89,p,s,0.35600000000000165
140,140,54.89,55.584,s,p,0.6940000000000026
141,141,55.584,55.706,p,s,0.12199999999999989
142,142,55.706,56.835,s,p,1.1289999999999978
143,143,56.835,57.133,p,s,0.2980000000000018
144,144,57.133,57.527,s,p,0.39399999999999835
145,145,57.527,57.602,p,s,0.07499999999999574
146,146,57.602,58.524,s,p,0.9220000000000041
149,149,58.597,58.908,p,s,0.31099999999999994
150,150,58.908,59.683,s,p,0.7749999999999986
151,151,59.683,59.743,p,s,0.060000000000002274
152,152,59.743,59.888,s,p,0.14499999999999602
153,153,59.888,60.15,p,s,0.26200000000000045
154,154,60.15,61.685,s,p,1.5350000000000037
155,155,61.685,62.208,p,s,0.5229999999999961
156,156,62.208,63.402,s,p,1.1940000000000026
157,157,63.402,64.399,p,s,0.9969999999999999
160,160,64.399,65.207,s,p,0.8079999999999927
161,161,65.207,65.653,p,s,0.44600000000001216
162,162,65.653,66.511,s,p,0.8579999999999899
163,163,66.511,66.63,p,s,0.11899999999999977
164,164,66.63,66.918,s,p,0.2880000000000109
165,165,66.918,67.25,p,s,0.33199999999999363
166,166,67.25,67.849,s,p,0.5990000000000038
167,167,67.849,68.176,p,s,0.3269999999999982
168,168,68.176,69.312,s,p,1.1359999999999957
169,169,69.312,70.001,p,s,0.6890000000000072
172,172,70.001,70.732,s,p,0.7309999999999945
173,173,70.732,71.055,p,s,0.3230000000000075
174,174,71.055,72.455,s,p,1.3999999999999915
175,175,72.455,72.996,p,s,0.5409999999999968
178,178,72.996,74.228,s,p,1.2319999999999993
179,179,74.228,74.504,p,s,0.27600000000001046
180,180,74.504,74.795,s,p,0.2909999999999968
181,181,74.795,75.342,p,s,0.546999999999997
184,184,75.342,76.468,s,p,1.1260000000000048
185,185,76.468,76.527,p,s,0.0589999999999975
186,186,76.527,76.676,s,p,0.1490000000000009
187,187,76.676,76.731,p,s,0.05499999999999261
188,188,76.731,77.001,s,p,0.27000000000001023
189,189,77.001,77.349,p,s,0.347999999999999
190,190,77.349,78.789,s,p,1.4399999999999977
191,191,78.789,79.038,p,s,0.24899999999999523
192,192,79.038,79.917,s,p,0.8790000000000049
193,193,79.917,80.006,p,s,0.08899999999999864
194,194,80.006,80.208,s,p,0.20199999999999818
195,195,80.208,80.3,p,s,0.09199999999999875
196,196,80.3,82.013,s,p,1.713000000000008
197,197,82.013,83.193,p,s,1.1799999999999926
198,198,83.193,84.144,s,p,0.9510000000000076
