level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,2.5610000000000004,s,s,,2.5610000000000004,0
1,1,2.5610000000000004,2.6319999999999997,p,p,s,0.07100000000000017,0
2,2,2.6319999999999997,4.642,s,s,p,2.01,0
3,3,4.642,4.7589999999999995,p,p,s,0.11700000000000088,0
4,4,4.7589999999999995,4.96,s,s,p,0.2009999999999996,0
5,5,4.96,6.171,p,p,s,1.2110000000000003,1
12,12,6.171,7.1339999999999995,s,s,p,0.963,0
13,13,7.1339999999999995,7.255,p,p,s,0.12099999999999955,0
14,14,7.255,8.437000000000001,s,s,p,1.1819999999999995,0
15,15,8.437000000000001,8.68,p,p,s,0.24300000000000035,0
16,16,8.68,9.56,s,s,p,0.8800000000000008,0
17,17,9.56,10.152000000000001,p,p,s,0.5919999999999987,1
20,20,10.152000000000001,12.405999999999999,s,s,p,2.2540000000000013,0
21,21,12.405999999999999,13.225,p,p,s,0.8189999999999991,1
24,24,13.225,13.865,s,s,p,0.6400000000000006,0
25,25,13.865,14.238,p,p,s,0.3729999999999993,0
28,28,14.238,14.644,s,s,p,0.4060000000000006,0
29,29,14.644,14.72,p,p,s,0.07600000000000051,0
30,30,14.72,15.618,s,s,p,0.8979999999999997,0
31,31,15.618,16.135,p,p,s,0.5170000000000012,0
32,32,16.135,16.424,s,s,p,0.2889999999999979,0
33,33,16.424,16.8,p,p,s,0.3760000000000012,0
34,34,16.8,18.424,s,s,p,1.6239999999999988,0
35,35,18.424,18.957,p,p,s,0.5330000000000013,1
38,38,18.957,19.448,s,s,p,0.4909999999999997,0
39,39,19.448,19.498,p,p,s,0.05000000000000071,0
40,40,19.498,20.207,s,s,p,0.7089999999999996,0
41,41,20.207,20.316,p,p,s,0.1089999999999982,0
42,42,20.316,20.5,s,s,p,0.18400000000000105,0
43,43,20.5,20.573,p,p,s,0.0730000000000004,0
44,44,20.573,21.323,s,s,p,0.75,0
45,45,21.323,21.879,p,p,s,0.5560000000000009,1
50,50,21.879,22.514,s,s,p,0.6349999999999979,0
51,51,22.514,22.614,p,p,s,0.10000000000000142,0
52,52,22.614,26.728,s,s,p,4.114000000000001,0
53,53,26.728,26.818,p,p,s,0.08999999999999986,0
54,54,26.818,27.736,s,s,p,0.9179999999999992,0
55,55,27.736,27.926,p,p,s,0.18999999999999773,0
56,56,27.926,28.694000000000003,s,s,p,0.7680000000000007,0
57,57,28.694000000000003,29.1,p,p,s,0.4060000000000024,0
60,60,29.1,30.092,s,s,p,0.9919999999999972,0
61,61,30.092,30.44,p,p,s,0.3480000000000025,0
64,64,30.44,31.44,s,s,p,1.0,0
65,65,31.44,31.505,p,p,s,0.06499999999999773,0
66,66,31.505,31.861,s,s,p,0.35600000000000165,0
67,67,31.861,31.933000000000003,p,p,s,0.07199999999999918,0
68,68,31.933000000000003,33.923,s,s,p,1.990000000000002,0
69,69,33.923,34.196,p,p,s,0.2729999999999961,0
70,70,34.196,34.513000000000005,s,s,p,0.31700000000000017,0
71,71,34.513000000000005,34.986999999999995,p,p,s,0.47400000000000375,1
74,74,34.986999999999995,36.84,s,s,p,1.853000000000001,0
75,75,36.84,37.489000000000004,p,p,s,0.6489999999999938,1
78,78,37.489000000000004,38.303000000000004,s,s,p,0.8140000000000001,0
79,79,38.303000000000004,38.685,p,p,s,0.382000000000005,0
80,80,38.685,39.701,s,s,p,1.0159999999999982,0
81,81,39.701,39.769,p,p,s,0.06799999999999784,0
82,82,39.769,40.319,s,s,p,0.5500000000000043,0
83,83,40.319,40.406,p,p,s,0.08699999999999619,0
84,84,40.406,41.545,s,s,p,1.139000000000003,0
85,85,41.545,41.836000000000006,p,p,s,0.2909999999999968,0
88,88,41.836000000000006,42.901,s,s,p,1.0650000000000048,0
89,89,42.901,43.343,p,p,s,0.44200000000000017,1
92,92,43.343,43.7,s,s,p,0.3569999999999993,0
93,93,43.7,43.886,p,p,s,0.18599999999999994,0
94,94,43.886,44.688,s,s,p,0.8019999999999996,0
95,95,44.688,44.781000000000006,p,p,s,0.09299999999999642,0
96,96,44.781000000000006,46.068999999999996,s,s,p,1.2880000000000038,0
97,97,46.068999999999996,46.695,p,p,s,0.6259999999999977,1
100,100,46.695,47.606,s,s,p,0.9110000000000014,0
101,101,47.606,47.696999999999996,p,p,s,0.09100000000000108,0
102,102,47.696999999999996,48.644,s,s,p,0.9469999999999956,0
103,103,48.644,48.705,p,p,s,0.060999999999999936,0
104,104,48.705,49.428999999999995,s,s,p,0.7240000000000038,0
105,105,49.428999999999995,49.961000000000006,p,p,s,0.5319999999999965,1
108,108,49.961000000000006,51.049,s,s,p,1.088000000000001,0
109,109,51.049,51.544,p,p,s,0.4949999999999974,0
114,114,51.544,53.243,s,s,p,1.6990000000000052,0
115,115,53.243,53.305,p,p,s,0.06199999999999761,0
116,116,53.305,54.481,s,s,p,1.176000000000002,0
117,117,54.481,55.04600000000001,p,p,s,0.5649999999999977,1
