level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,2.63,s,,2.63
1,1,2.63,2.886,p,s,0.2560000000000002
4,4,2.886,3.915,s,p,1.029
5,5,3.915,4.3,p,s,0.3849999999999998
6,6,4.3,6.665,s,p,2.365
7,7,6.665,7.455,p,s,0.79
8,8,7.455,8.67,s,p,1.2149999999999999
9,9,8.67,8.911999999999999,p,s,0.2419999999999991
10,10,8.911999999999999,10.564,s,p,1.652000000000001
11,11,10.564,11.217,p,s,0.6530000000000005
12,12,11.217,12.395,s,p,1.177999999999999
13,13,12.395,12.679,p,s,0.2840000000000007
16,16,12.679,14.702,s,p,2.0229999999999997
17,17,14.702,14.812,p,s,0.10999999999999943
18,18,14.812,15.118,s,p,0.30600000000000094
19,19,15.118,15.633,p,s,0.5149999999999988
20,20,15.633,16.701,s,p,1.0680000000000014
21,21,16.701,17.223,p,s,0.5219999999999985
22,22,17.223,17.53,s,p,0.30700000000000216
23,23,17.53,17.667,p,s,0.13700000000000045
24,24,17.667,18.159,s,p,0.49199999999999733
25,25,18.159,18.491,p,s,0.33200000000000074
26,26,18.491,19.166,s,p,0.6750000000000007
27,27,19.166,19.467,p,s,0.3009999999999984
28,28,19.467,19.9,s,p,0.43299999999999983
29,29,19.9,19.986,p,s,0.08600000000000207
30,30,19.986,20.653,s,p,0.666999999999998
31,31,20.653,21.322,p,s,0.6690000000000005
32,32,21.322,21.889,s,p,0.5670000000000002
33,33,21.889,21.97,p,s,0.08099999999999952
34,34,21.97,22.135,s,p,0.1650000000000027
35,35,22.135,22.219,p,s,0.08399999999999963
36,36,22.219,23.761,s,p,1.541999999999998
37,37,23.761,24.142,p,s,0.3810000000000002
38,38,24.142,25.595,s,p,1.4529999999999994
39,39,25.595,25.796,p,s,0.2010000000000005
42,42,25.796,26.518,s,p,0.7220000000000013
43,43,26.518,27.625,p,s,1.1069999999999993
46,46,27.625,29.211,s,p,1.5859999999999985
47,47,29.211,29.391,p,s,0.17999999999999972
48,48,29.391,30.327,s,p,0.9360000000000035
49,49,30.327,31.625,p,s,1.2979999999999983
50,50,31.625,33.523,s,p,1.8980000000000032
51,51,33.523,33.654,p,s,0.13100000000000023
52,52,33.654,33.837,s,p,0.18299999999999983
53,53,33.837,33.981,p,s,0.14399999999999835
54,54,33.981,34.249,s,p,0.2680000000000007
55,55,34.249,34.354,p,s,0.10499999999999687
56,56,34.354,34.466,s,p,0.11200000000000188
57,57,34.466,34.937,p,s,0.47099999999999653
58,58,34.937,36.227,s,p,1.2899999999999991
59,59,36.227,36.382,p,s,0.15500000000000114
60,60,36.382,37.368,s,p,0.9860000000000042
61,61,37.368,37.976,p,s,0.607999999999997
66,66,37.976,38.35,s,p,0.37400000000000233
67,67,38.35,38.684,p,s,0.3339999999999961
70,70,38.684,39.266,s,p,0.5820000000000007
71,71,39.266,39.36,p,s,0.0940000000000012
72,72,39.36,39.942,s,p,0.5820000000000007
73,73,39.942,40.332,p,s,0.39000000000000057
74,74,40.332,41.088,s,p,0.7560000000000002
75,75,41.088,41.537,p,s,0.44899999999999807
76,76,41.537,42.158,s,p,0.6210000000000022
77,77,42.158,42.428,p,s,0.269999999999996
78,78,42.428,42.993,s,p,0.5650000000000048
79,79,42.993,43.382,p,s,0.3889999999999958
80,80,43.382,43.533,s,p,0.15100000000000335
81,81,43.533,43.634,p,s,0.10099999999999909
82,82,43.634,44.04,s,p,0.4059999999999988
83,83,44.04,44.499,p,s,0.4590000000000032
84,84,44.499,45.583,s,p,1.083999999999996
85,85,45.583,46.066,p,s,0.4830000000000041
86,86,46.066,47.318,s,p,1.2519999999999953
87,87,47.318,47.369,p,s,0.05100000000000193
88,88,47.369,48.74,s,p,1.3710000000000022
89,89,48.74,48.994,p,s,0.2539999999999978
90,90,48.994,50.122,s,p,1.1280000000000001
91,91,50.122,50.432,p,s,0.3100000000000023
92,92,50.432,51.0,s,p,0.5679999999999978
93,93,51.0,51.63,p,s,0.6300000000000026
