level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,2.717,s,s,,2.717,0
1,1,2.717,2.823,p,p,s,0.10599999999999987,0
2,2,2.823,3.58,s,s,p,0.7570000000000001,0
3,3,3.58,3.6439999999999997,p,p,s,0.06400000000000006,0
4,4,3.6439999999999997,4.1339999999999995,s,s,p,0.4900000000000002,0
5,5,4.1339999999999995,4.662,p,p,s,0.5279999999999996,0
8,8,4.662,5.341,s,s,p,0.6790000000000003,0
9,9,5.341,6.103,p,p,s,0.7619999999999996,0
10,10,6.103,6.862,s,s,p,0.7590000000000003,0
11,11,6.862,8.818,p,p,s,1.9559999999999995,0
14,14,8.818,11.052999999999999,s,s,p,2.2350000000000008,0
15,15,11.052999999999999,12.095999999999998,p,p,s,1.0429999999999993,0
16,16,12.095999999999998,12.737,s,s,p,0.6409999999999999,0
17,17,12.737,13.165999999999999,p,p,s,0.42900000000000027,0
18,18,13.165999999999999,14.325,s,s,p,1.158999999999999,0
19,19,14.325,15.159,p,p,s,0.8340000000000014,0
20,20,15.159,16.779,s,s,p,1.6199999999999992,0
21,21,16.779,16.891,p,p,s,0.11199999999999832,0
22,22,16.891,17.926000000000005,s,s,p,1.0350000000000037,0
23,23,17.926000000000005,18.143,p,p,s,0.21699999999999875,0
26,26,18.143,19.0,s,s,p,0.8569999999999993,0
27,27,19.0,19.875999999999998,p,p,s,0.8760000000000012,0
28,28,19.875999999999998,20.316,s,s,p,0.4399999999999977,0
29,29,20.316,20.685,p,p,s,0.3689999999999998,0
30,30,20.685,21.329,s,s,p,0.6440000000000019,0
31,31,21.329,22.028000000000002,p,p,s,0.6989999999999981,0
32,32,22.028000000000002,23.543000000000003,s,s,p,1.5150000000000006,0
33,33,23.543000000000003,24.819000000000003,p,p,s,1.2759999999999998,0
34,34,24.819000000000003,25.391,s,s,p,0.5719999999999992,0
35,35,25.391,25.531,p,p,s,0.14000000000000054,0
36,36,25.531,28.36,s,s,p,2.8290000000000006,0
37,37,28.36,28.412,p,p,s,0.0519999999999996,0
38,38,28.412,28.980999999999998,s,s,p,0.5690000000000026,0
39,39,28.980999999999998,29.385,p,p,s,0.4039999999999964,0
40,40,29.385,30.09,s,s,p,0.7050000000000018,0
41,41,30.09,30.267,p,p,s,0.1769999999999996,0
42,42,30.267,32.103,s,s,p,1.836000000000002,0
43,43,32.103,32.651,p,p,s,0.5479999999999947,0
44,44,32.651,33.304,s,s,p,0.6530000000000058,0
45,45,33.304,33.585,p,p,s,0.2809999999999988,0
48,48,33.585,34.992,s,s,p,1.4069999999999965,0
49,49,34.992,35.421,p,p,s,0.4290000000000021,0
50,50,35.421,37.082,s,s,p,1.6610000000000014,0
51,51,37.082,37.596,p,p,s,0.5140000000000029,0
52,52,37.596,38.293,s,s,p,0.6969999999999956,0
53,53,38.293,38.501,p,p,s,0.2079999999999984,0
54,54,38.501,38.813,s,s,p,0.3120000000000047,0
55,55,38.813,39.74,p,p,s,0.9269999999999996,0
56,56,39.74,39.872,s,s,p,0.1319999999999979,0
57,57,39.872,40.1,p,p,s,0.22800000000000156,0
60,60,40.1,41.372,s,s,p,1.2719999999999985,0
61,61,41.372,41.86,p,p,s,0.4879999999999996,0
64,64,41.86,43.693000000000005,s,s,p,1.8329999999999984,0
65,65,43.693000000000005,43.75899999999999,p,p,s,0.0660000000000025,0
66,66,43.75899999999999,43.911,s,s,p,0.15200000000000102,0
67,67,43.911,44.401,p,p,s,0.4899999999999949,0
68,68,44.401,46.035,s,s,p,1.6340000000000003,0
69,69,46.035,46.373999999999995,p,p,s,0.3390000000000057,0
72,72,46.373999999999995,46.512,s,s,p,0.13799999999999812,0
73,73,46.512,47.632,p,p,s,1.1199999999999974,1
78,78,47.632,48.606,s,s,p,0.9740000000000038,0
79,79,48.606,50.391999999999996,p,p,s,1.7860000000000014,0
84,84,50.391999999999996,51.963,s,s,p,1.570999999999998,0
85,85,51.963,52.43600000000001,p,p,s,0.472999999999999,0
86,86,52.43600000000001,53.348,s,s,p,0.9119999999999989,0
87,87,53.348,53.398999999999994,p,p,s,0.05100000000000193,0
88,88,53.398999999999994,54.048,s,s,p,0.6490000000000009,0
89,89,54.048,54.185,p,p,s,0.13700000000000045,0
90,90,54.185,55.042,s,s,p,0.8569999999999993,0
91,91,55.042,56.233000000000004,p,p,s,1.1909999999999954,0
92,92,56.233000000000004,56.604,s,s,p,0.3710000000000022,0
93,93,56.604,56.786,p,p,s,0.18200000000000216,0
94,94,56.786,57.788000000000004,s,s,p,1.0019999999999951,0
95,95,57.788000000000004,58.031000000000006,p,p,s,0.2430000000000021,0
96,96,58.031000000000006,58.916000000000004,s,s,p,0.8849999999999979,0
97,97,58.916000000000004,59.09,p,p,s,0.1740000000000066,0
98,98,59.09,60.184,s,s,p,1.093999999999994,0
99,99,60.184,60.236000000000004,p,p,s,0.0519999999999996,0
100,100,60.236000000000004,60.441,s,s,p,0.2050000000000054,0
101,101,60.441,61.01,p,p,s,0.5689999999999955,0
104,104,61.01,61.666000000000004,s,s,p,0.6559999999999988,0
105,105,61.666000000000004,61.766000000000005,p,p,s,0.10000000000000142,0
106,106,61.766000000000005,62.45,s,s,p,0.6840000000000046,0
107,107,62.45,62.745,p,p,s,0.2949999999999946,0
108,108,62.745,64.22399999999999,s,s,p,1.4790000000000063,0
109,109,64.22399999999999,64.749,p,p,s,0.5249999999999915,0
112,112,64.749,66.55498866213152,s,s,p,1.8059886621315255,0
