level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,0.7,s,,0.7,s,0
1,1,0.7,1.3230000000000002,p,s,0.623,p,0
4,4,1.3230000000000002,2.19,s,p,0.867,s,0
5,5,2.19,3.0,p,s,0.81,p,0
6,6,3.0,3.5540000000000003,s,p,0.5540000000000003,s,0
7,7,3.5540000000000003,3.6719999999999997,p,s,0.11799999999999987,p,0
8,8,3.6719999999999997,4.757,s,p,1.0849999999999995,s,0
9,9,4.757,5.211,p,s,0.4540000000000006,p,0
10,10,5.211,6.0360000000000005,s,p,0.8249999999999993,s,0
11,11,6.0360000000000005,6.247999999999999,p,s,0.21200000000000066,p,0
12,12,6.247999999999999,6.82,s,p,0.5720000000000001,s,0
13,13,6.82,7.281000000000001,p,s,0.4609999999999994,p,0
14,14,7.281000000000001,7.785,s,p,0.5040000000000004,s,0
15,15,7.785,7.992000000000001,p,s,0.20699999999999985,p,0
16,16,7.992000000000001,8.486,s,p,0.4940000000000007,s,0
17,17,8.486,9.395,p,s,0.9089999999999988,p,0
18,18,9.395,10.062999999999999,s,p,0.6680000000000009,s,0
19,19,10.062999999999999,10.228,p,s,0.16499999999999915,p,0
20,20,10.228,10.713,s,p,0.4850000000000012,s,0
21,21,10.713,11.15,p,s,0.4369999999999994,p,0
22,22,11.15,12.067,s,p,0.9169999999999998,s,0
23,23,12.067,12.679,p,s,0.6120000000000001,p,0
24,24,12.679,13.912,s,p,1.2329999999999988,s,0
25,25,13.912,14.252,p,s,0.33999999999999986,p,0
26,26,14.252,14.923,s,p,0.6710000000000012,s,0
27,27,14.923,15.152999999999999,p,s,0.23000000000000045,p,0
28,28,15.152999999999999,15.775,s,p,0.6219999999999999,s,0
29,29,15.775,16.232,p,s,0.456999999999999,p,0
30,30,16.232,16.823,s,p,0.5910000000000011,s,0
31,31,16.823,17.25,p,s,0.4269999999999996,p,0
32,32,17.25,18.203,s,p,0.9529999999999994,s,0
33,33,18.203,18.49,p,s,0.28699999999999903,p,0
34,34,18.49,18.924,s,p,0.43400000000000105,s,0
35,35,18.924,18.983,p,s,0.05900000000000105,p,0
36,36,18.983,19.375999999999998,s,p,0.3930000000000007,s,0
37,37,19.375999999999998,19.956,p,s,0.5799999999999983,p,0
40,40,19.956,20.413,s,p,0.4570000000000008,s,0
41,41,20.413,20.517,p,s,0.1039999999999992,p,0
42,42,20.517,21.401999999999997,s,p,0.8850000000000016,s,0
43,43,21.401999999999997,22.734,p,s,1.3320000000000007,p,0
54,54,22.734,23.066,s,p,0.3319999999999972,p,1
55,55,23.066,23.385,p,s,0.31899999999999906,p,0
60,60,23.385,24.366999999999997,s,p,0.9820000000000028,s,0
61,61,24.366999999999997,24.526,p,s,0.15899999999999892,p,0
62,62,24.526,24.831,s,p,0.3049999999999997,s,0
63,63,24.831,24.886999999999997,p,s,0.05600000000000094,p,0
64,64,24.886999999999997,26.456,s,p,1.568999999999999,s,0
65,65,26.456,26.522,p,s,0.06599999999999895,p,0
66,66,26.522,27.221,s,p,0.6990000000000016,s,0
67,67,27.221,27.771,p,s,0.5500000000000007,p,0
68,68,27.771,28.388,s,p,0.6169999999999973,s,0
69,69,28.388,28.438000000000002,p,s,0.05000000000000071,p,0
70,70,28.438000000000002,28.583000000000002,s,p,0.14499999999999955,s,0
71,71,28.583000000000002,28.638,p,s,0.054999999999999716,p,0
72,72,28.638,29.63,s,p,0.9920000000000008,s,0
73,73,29.63,30.338,p,s,0.7080000000000021,p,0
76,76,30.338,33.0,s,p,2.661999999999999,s,0
77,77,33.0,33.777,p,s,0.777000000000001,p,0
78,78,33.777,35.7,s,p,1.9230000000000016,s,0
79,79,35.7,35.753,p,s,0.05299999999999727,p,0
80,80,35.753,36.0,s,p,0.2469999999999999,s,0
81,81,36.0,37.817,p,s,1.817,p,0
82,82,37.817,38.049,s,p,0.2319999999999993,p,1
83,83,38.049,38.099,p,s,0.05000000000000426,p,0
84,84,38.099,38.235,s,p,0.13599999999999568,p,1
85,85,38.235,38.312,p,s,0.07699999999999818,p,0
86,86,38.312,38.448,s,p,0.1360000000000028,p,1
87,87,38.448,38.555,p,s,0.10699999999999933,p,0
88,88,38.555,38.913000000000004,s,p,0.35799999999999704,p,1
89,89,38.913000000000004,39.465,p,s,0.5520000000000067,p,0
94,94,39.465,40.843,s,p,1.378,s,0
95,95,40.843,41.266000000000005,p,s,0.4229999999999947,p,0
100,100,41.266000000000005,42.57899999999999,s,p,1.3130000000000024,s,0
101,101,42.57899999999999,42.945,p,s,0.3659999999999997,p,0
104,104,42.945,44.077,s,p,1.1319999999999981,s,0
105,105,44.077,44.448,p,s,0.3710000000000022,p,0
106,106,44.448,45.24100000000001,s,p,0.7929999999999993,s,0
107,107,45.24100000000001,45.618,p,s,0.3770000000000024,p,0
108,108,45.618,45.915,s,p,0.29699999999999704,s,0
109,109,45.915,46.047,p,s,0.1319999999999979,p,0
110,110,46.047,47.743,s,p,1.6960000000000048,s,0
111,111,47.743,48.113,p,s,0.36999999999999744,p,0
112,112,48.113,48.986999999999995,s,p,0.8740000000000023,s,0
113,113,48.986999999999995,49.114,p,s,0.12699999999999534,p,0
114,114,49.114,50.169,s,p,1.0549999999999995,s,0
115,115,50.169,50.981,p,s,0.8120000000000047,p,0
116,116,50.981,51.358000000000004,s,p,0.37699999999999534,s,0
117,117,51.358000000000004,51.468999999999994,p,s,0.1110000000000042,p,0
118,118,51.468999999999994,52.62,s,p,1.1509999999999962,s,0
119,119,52.62,52.983999999999995,p,s,0.3640000000000043,p,0
122,122,52.983999999999995,54.693999999999996,s,p,1.7100000000000009,s,0
