level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,2.138,s,,2.138,s,0
1,1,2.138,2.21,p,s,0.07200000000000006,p,0
2,2,2.21,2.5639999999999996,s,p,0.3540000000000001,s,0
3,3,2.5639999999999996,2.6289999999999996,p,s,0.06499999999999995,p,0
4,4,2.6289999999999996,3.945,s,p,1.3159999999999998,s,0
5,5,3.945,4.119,p,s,0.17399999999999993,p,0
6,6,4.119,4.3580000000000005,s,p,0.2390000000000008,s,0
7,7,4.3580000000000005,4.912,p,s,0.5539999999999994,p,0
8,8,4.912,6.303,s,p,1.391,s,0
9,9,6.303,6.454,p,s,0.1509999999999998,p,0
10,10,6.454,6.858,s,p,0.4039999999999999,s,0
11,11,6.858,6.9639999999999995,p,s,0.10600000000000076,p,0
12,12,6.9639999999999995,7.62,s,p,0.6559999999999997,s,0
13,13,7.62,8.105,p,s,0.4850000000000003,p,0
14,14,8.105,8.907,s,p,0.8019999999999996,s,0
15,15,8.907,8.974,p,s,0.06700000000000017,p,0
16,16,8.974,9.853,s,p,0.8789999999999996,s,0
17,17,9.853,10.165,p,s,0.3119999999999994,p,0
18,18,10.165,11.077,s,p,0.9120000000000008,s,0
19,19,11.077,11.458,p,s,0.3810000000000002,p,0
20,20,11.458,11.79,s,p,0.33199999999999896,s,0
21,21,11.79,11.89,p,s,0.10000000000000142,p,0
22,22,11.89,13.788,s,p,1.898,s,0
23,23,13.788,14.322000000000001,p,s,0.5339999999999989,p,0
24,24,14.322000000000001,15.698,s,p,1.3760000000000012,s,0
25,25,15.698,16.024,p,s,0.3260000000000005,p,0
26,26,16.024,16.8,s,p,0.7759999999999998,s,0
27,27,16.8,16.865,p,s,0.06499999999999773,p,0
28,28,16.865,17.305999999999997,s,p,0.4410000000000025,s,0
29,29,17.305999999999997,17.369,p,s,0.06299999999999882,p,0
30,30,17.369,17.526,s,p,0.15700000000000006,s,0
31,31,17.526,17.624000000000002,p,s,0.09799999999999898,p,0
32,32,17.624000000000002,18.33,s,p,0.7059999999999995,s,0
33,33,18.33,18.735,p,s,0.4050000000000011,p,0
36,36,18.735,19.429000000000002,s,p,0.6939999999999991,s,0
37,37,19.429000000000002,19.48,p,s,0.05100000000000193,p,0
38,38,19.48,19.814,s,p,0.33399999999999963,s,0
39,39,19.814,19.865,p,s,0.05099999999999838,p,0
40,40,19.865,20.257,s,p,0.39200000000000296,s,0
41,41,20.257,20.794,p,s,0.5369999999999989,p,0
42,42,20.794,21.747,s,p,0.9529999999999994,s,0
43,43,21.747,22.035999999999998,p,s,0.2890000000000015,p,0
44,44,22.035999999999998,24.322,s,p,2.285999999999998,s,0
45,45,24.322,24.393,p,s,0.0710000000000015,p,0
46,46,24.393,24.861,s,p,0.468,s,0
47,47,24.861,25.043000000000003,p,s,0.1819999999999986,p,0
48,48,25.043000000000003,25.953000000000003,s,p,0.91,s,0
49,49,25.953000000000003,26.693,p,s,0.7400000000000021,p,0
52,52,26.693,27.112,s,p,0.4189999999999969,s,0
53,53,27.112,27.185,p,s,0.0730000000000004,p,0
54,54,27.185,27.686,s,p,0.5010000000000012,s,0
55,55,27.686,27.758000000000003,p,s,0.07199999999999918,p,0
56,56,27.758000000000003,28.146,s,p,0.3880000000000017,s,0
57,57,28.146,28.208000000000002,p,s,0.06199999999999761,p,0
58,58,28.208000000000002,28.849,s,p,0.6410000000000018,s,0
59,59,28.849,29.462,p,s,0.6129999999999995,p,0
60,60,29.462,30.355,s,p,0.8930000000000007,s,0
61,61,30.355,30.432,p,s,0.07699999999999818,p,0
62,62,30.432,31.84,s,p,1.4080000000000013,s,0
63,63,31.84,32.208,p,s,0.36799999999999855,p,0
66,66,32.208,32.858000000000004,s,p,0.6499999999999986,s,0
67,67,32.858000000000004,32.991,p,s,0.13300000000000267,p,0
68,68,32.991,33.11,s,p,0.11899999999999974,s,0
69,69,33.11,33.262,p,s,0.15200000000000102,p,0
70,70,33.262,34.273,s,p,1.0110000000000028,s,0
71,71,34.273,34.849000000000004,p,s,0.5759999999999934,p,0
72,72,34.849000000000004,35.591,s,p,0.7420000000000044,s,0
73,73,35.591,35.663000000000004,p,s,0.07199999999999562,p,0
74,74,35.663000000000004,36.0,s,p,0.3370000000000033,s,0
75,75,36.0,36.114000000000004,p,s,0.1139999999999972,p,0
76,76,36.114000000000004,37.121,s,p,1.007000000000005,s,0
77,77,37.121,37.214,p,s,0.09299999999999642,p,0
78,78,37.214,37.765,s,p,0.5510000000000019,s,0
79,79,37.765,37.848,p,s,0.08299999999999841,p,0
