File_Name,Speech Time Threshold_ms,Pause Time Threshold_ms,Percent_Pause,Percent_Speech,Total_Duration_Unclipped_s,Total_Duration_Clipped_s,Speech_Duration_s,Pause_Duration_s,Speech_Events,Pause_Events,Mean Speech_s,Std Dev Speech,CV Speech,Mean Pause_s,Std Dev Pause,CV Pause
9012.wav,100,50,32.113104653440004,67.88689534656,66.38129166666667,66.381,45.06399999999999,21.31700000000001,57,56,0.7905964912280701,0.4968717806597998,0.6229397370829158,0.38066071428571446,0.31230173502767833,0.81306201142175
9015.wav,100,50,32.34093112819736,67.6590688718026,73.22364583333334,73.223,49.54200000000002,23.68099999999995,56,55,0.8846785714285721,0.5324536038564679,0.596463117554229,0.43056363636363565,0.3795812392251721,0.8735402609805102
9018.wav,100,50,21.03220518754221,78.9677948124578,41.484229166666665,41.484,32.75899999999999,8.72500000000001,21,20,1.5599523809523805,0.9478081808145817,0.5929450694087582,0.4362500000000006,0.27956825265887536,0.624617596333214
9026.wav,100,50,26.330734282907652,73.55108055009826,65.15227083333333,65.152,47.92000000000002,17.154999999999994,61,60,0.7855737704918034,0.5955474920613358,0.7518654586534741,0.28591666666666654,0.271576707749561,0.9418970307038278
9027.wav,100,50,19.17456021650877,80.63824988723503,44.34079166666667,44.34,35.75500000000002,8.501999999999988,35,34,1.021571428571429,0.7016012897279331,0.6769039946429618,0.25005882352941144,0.18028259654430265,0.7102792578817477
9029.wav,100,50,19.31547747825712,80.6845225217429,92.44410416666666,92.444,74.58800000000001,17.856000000000012,86,85,0.8673023255813954,0.6980826863171048,0.8001963999928133,0.21007058823529412,0.1505388565750898,0.7123829910410824
9032.wav,100,50,27.796803040225026,72.12482957778231,93.1515,93.151,67.185,25.893000000000015,91,90,0.7382967032967032,0.5024276729486211,0.6767732445587596,0.2877000000000001,0.22692613508918905,0.7843653555813007
9036.wav,100,50,28.040992993148432,71.95900700685158,51.52110416666667,51.521,37.074,14.447000000000006,47,46,0.7888085106382978,0.5897044078363726,0.7395929678929921,0.3140652173913045,0.3067665346208498,0.9660853142243638
9038.wav,100,50,23.55532891381953,76.44467108618048,49.0254375,49.025,37.476999999999975,11.548000000000023,35,34,1.0707714285714278,0.6430296894487884,0.5918882073249272,0.3396470588235301,0.25325838791971594,0.7346043426300239
9042.wav,100,50,35.723868408772766,64.21877430393528,102.86464583333333,102.864,66.05799999999998,36.74700000000002,78,77,0.8468974358974357,0.5784521125269116,0.6786325005880997,0.47723376623376645,0.42078672858124,0.8759761931343445
9043.wav,100,50,43.083242373757706,56.91675762624232,69.62827083333333,69.628,39.63,29.99800000000002,55,54,0.7205454545454543,0.4635256522599695,0.6374232877508712,0.5555185185185189,0.4782252071014222,0.8528545638679877
9044.wav,100,50,36.998648039657525,63.0013519603425,55.475229166666665,55.475,34.95,20.52500000000001,45,44,0.7766666666666665,0.45616833017488817,0.5807785201895211,0.4664772727272729,0.35985956489747895,0.7626239688026073
9045.wav,100,50,31.283312288163778,68.7166877118362,75.23516666666667,75.235,51.69899999999996,23.53600000000002,77,76,0.6714155844155841,0.5241228349058257,0.7755380268726354,0.30968421052631606,0.28835437505617095,0.9249778171142312
9046.wav,100,50,41.57986570084075,58.420134299159244,94.56533333333333,94.565,55.24499999999993,39.32000000000005,74,73,0.7465540540540533,0.5818607408097477,0.7741112295951627,0.5386301369863021,0.3673800449296086,0.6773758859611944
RSC53JF.wav,100,50,24.364891877157888,75.63510812284211,55.03041666666667,55.03,41.622000000000014,13.407999999999985,52,51,0.8004230769230772,0.5552896204632933,0.6870421323280146,0.26290196078431344,0.29000829332292977,1.092236049590129
SF1032.wav,100,50,23.756461530112958,76.24353846988704,68.11224489795919,68.11199546485261,51.93099546485263,16.180999999999994,69,68,0.7526231226790235,0.7367830629468917,0.9718337737906478,0.23795588235294102,0.2231615059235696,0.9309059008790497
SF1052.wav,100,50,25.603756840219745,74.39624315978025,62.319931972789114,62.31897959183674,46.362979591836684,15.956000000000046,52,51,0.8915957613814749,0.6393181087060652,0.710121116215072,0.3128627450980401,0.26311047258578285,0.832691626101431
SF1094.wav,100,50,18.960572525676266,81.03942747432372,45.29485260770975,45.29399092970522,36.70599092970522,8.587999999999987,26,25,1.4117688819117395,0.8112909421383729,0.5635031558045802,0.3435199999999995,0.21093662555374332,0.6016384497801479
SF1133.wav,100,50,28.78056876914958,71.0071635568155,54.64866213151927,54.64798185941043,38.80398185941043,15.728000000000005,46,45,0.8435648230306614,0.7834167020946313,0.9185476832191503,0.3495111111111113,0.3595055077478097,1.0171023153593066
SF1154.wav,100,50,30.32779906343126,69.48488718603659,70.4704081632653,70.47,48.96599999999999,21.372000000000007,69,68,0.7096521739130432,0.5679723695145472,0.7945323459545617,0.314294117647059,0.24717092151483613,0.780627899683873
SF1162.wav,100,50,19.309026231258628,80.43086162295775,38.43873015873016,38.43798185941043,30.916000000000004,7.421999999999993,25,24,1.2366400000000004,0.5927158453536849,0.46961165208271166,0.3092499999999997,0.2313738270118017,0.7324244251705984
SF1193.wav,100,50,11.539069118611907,88.4609308813881,32.039319727891154,32.038979591836735,28.34197959183673,3.6970000000000036,17,16,1.6671752701080431,1.1727058810536743,0.6824068445465943,0.23106250000000023,0.15352761695104505,0.6433431470211614
SM1012.wav,100,50,31.68422272245765,68.31577727754237,61.64918367346939,61.648979591836735,42.115979591836734,19.533000000000015,50,49,0.8423195918367344,0.5688732609996564,0.6685773453945045,0.39863265306122475,0.26893003224797735,0.6677117404889019
SM1024.wav,100,50,22.432242048984754,77.56775795101525,38.146961451247165,38.14598639455782,29.58898639455782,8.557000000000004,25,24,1.1835594557823128,0.7846607532378587,0.6495722567144666,0.35654166666666676,0.2003954740369468,0.5502194210392793
SM10431.wav,100,50,33.85841655353706,65.98681128533038,87.22573696145125,87.22498866213152,57.55698866213154,29.532999999999966,77,76,0.7474933592484617,0.4610599279432843,0.6127897225611013,0.3885921052631575,0.3871956328139246,0.9898293169691598
SM1174.wav,100,50,19.910051830852897,79.96894911547949,43.80210884353742,43.80199546485261,35.027995464852616,8.72099999999999,41,40,0.8543413528012835,0.7707770751737202,0.8911184353558605,0.2180249999999997,0.2575697553016537,1.1665164783395927
SM1413.wav,100,50,25.48042619892113,74.51957380107889,79.04573696145124,79.04498866213152,58.90398866213154,20.14099999999999,58,57,1.0155860114160606,0.813483203415652,0.794063641250363,0.35335087719298236,0.3165465149315161,0.8879488484072606
SM1443.wav,100,50,29.002288961265904,70.89291505332751,64.88836734693878,64.88798185941043,46.0009818594104,18.819000000000013,52,51,0.8846342665271234,0.7993811550837571,0.8948980550324108,0.3690000000000003,0.36246671571331895,0.9726166069766049
SM1453.wav,100,50,27.513677147751924,72.48632285224808,79.53541950113379,79.53498866213152,57.65198866213156,21.882999999999964,65,64,0.8869536717251008,0.545414180521503,0.6101811652966924,0.3419218749999996,0.26091823840608863,0.7571080067744715
SM1473.wav,100,50,26.322780100238948,73.67721989976106,62.55843537414966,62.55798185941043,46.09098185941045,16.466999999999977,61,60,0.7555898665477123,0.5554942422223698,0.7291286183051263,0.27444999999999964,0.2841861663041396,1.0268099747856183
